Date,Linea (#),Kroma Network (#),zkSync Era (#),OP Mainnet (#),Boba Network (#),Stacks (#),Arbitrum (#),Astar zkEVM (#),Mantle (#),Polygon zkEVM (#),Starknet (#),Manta Pacific (#),Scroll (#),ZKFair (#),Base (#),Metis (#),Mode Network (#),Kinto (#)
2014-02-12,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-13,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-14,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-02-15,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-02-16,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-02-17,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-02-18,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-19,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-20,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-21,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-22,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-23,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-24,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-25,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-26,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-02-27,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-02-28,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-01,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-02,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-03,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-04,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-05,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-06,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-07,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-08,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-09,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-10,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-11,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-12,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-13,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-14,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-15,8.00,8.00,,,,3.00,,,,,,,,,,,,
2014-03-16,8.00,8.00,,,,3.00,,,,,,,,,,,,
2014-03-17,8.00,8.00,,,,3.00,,,,,,,,,,,,
2014-03-18,8.00,8.00,,,,3.00,,,,,,,,,,,,
2014-03-19,8.00,8.00,,,,3.00,,,,,,,,,,,,
2014-03-20,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-21,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-22,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-23,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-24,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-25,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-03-26,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-03-27,7.00,7.00,,,,3.00,,,,,,,,,,,,
2014-03-28,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-03-29,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-03-30,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-03-31,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-04-01,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-04-02,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-03,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-04,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-05,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-06,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-04-07,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-08,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-04-09,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-10,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-11,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-12,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-13,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-14,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-04-15,3.00,3.00,,,,4.00,,,,,,,,,,,,
2014-04-16,3.00,3.00,,,,4.00,,,,,,,,,,,,
2014-04-17,3.00,3.00,,,,4.00,,,,,,,,,,,,
2014-04-18,3.00,3.00,,,,4.00,,,,,,,,,,,,
2014-04-19,4.00,4.00,,,,4.00,,,,,,,,,,,,
2014-04-20,4.00,4.00,,,,4.00,,,,,,,,,,,,
2014-04-21,4.00,4.00,,,,4.00,,,,,,,,,,,,
2014-04-22,4.00,4.00,,,,4.00,,,,,,,,,,,,
2014-04-23,4.00,4.00,,,,4.00,,,,,,,,,,,,
2014-04-24,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-25,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-26,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-04-27,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-04-28,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-04-29,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-04-30,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-01,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-02,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-03,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-04,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-05,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-05-06,6.00,6.00,,,,3.00,,,,,,,,,,,,
2014-05-07,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-08,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-09,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-10,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-11,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-12,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-13,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-14,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-15,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-05-16,4.00,4.00,,,,0.00,,,,,,,,,,,,
2014-05-17,4.00,4.00,,,,0.00,,,,,,,,,,,,
2014-05-18,4.00,4.00,,,,0.00,,,,,,,,,,,,
2014-05-19,4.00,4.00,,,,0.00,,,,,,,,,,,,
2014-05-20,7.00,7.00,,,,0.00,,,,,,,,,,,,
2014-05-21,7.00,7.00,,,,0.00,,,,,,,,,,,,
2014-05-22,7.00,7.00,,,,0.00,,,,,,,,,,,,
2014-05-23,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-24,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-25,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-26,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-27,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-28,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-29,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-30,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-05-31,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-01,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-02,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-03,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-04,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-05,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-06,8.00,8.00,,,,0.00,,,,,,,,,,,,
2014-06-07,8.00,8.00,,,,1.00,,,,,,,,,,,,
2014-06-08,8.00,8.00,,,,1.00,,,,,,,,,,,,
2014-06-09,8.00,8.00,,,,1.00,,,,,,,,,,,,
2014-06-10,8.00,8.00,,,,1.00,,,,,,,,,,,,
2014-06-11,7.00,7.00,,,,1.00,,,,,,,,,,,,
2014-06-12,7.00,7.00,,,,1.00,,,,,,,,,,,,
2014-06-13,7.00,7.00,,,,1.00,,,,,,,,,,,,
2014-06-14,7.00,7.00,,,,1.00,,,,,,,,,,,,
2014-06-15,7.00,7.00,,,,1.00,,,,,,,,,,,,
2014-06-16,7.00,7.00,,,,2.00,,,,,,,,,,,,
2014-06-17,7.00,7.00,,,,2.00,,,,,,,,,,,,
2014-06-18,7.00,7.00,,,,2.00,,,,,,,,,,,,
2014-06-19,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-06-20,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-06-21,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-22,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-23,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-24,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-25,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-26,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-27,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-28,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-06-29,4.00,3.00,,,,2.00,,,,,,,,,,,,
2014-06-30,4.00,3.00,,,,2.00,,,,,,,,,,,,
2014-07-01,5.00,4.00,,,,3.00,,,,,,,,,,,,
2014-07-02,6.00,5.00,,,,3.00,,,,,,,,,,,,
2014-07-03,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-04,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-05,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-06,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-07,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-08,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-09,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-10,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-11,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-12,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-13,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-14,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-15,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-16,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-17,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-18,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-19,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-20,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-21,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-07-22,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-23,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-24,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-25,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-26,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-27,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-28,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-29,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-30,8.00,7.00,,,,3.00,,,,,,,,,,,,
2014-07-31,7.00,6.00,,,,3.00,,,,,,,,,,,,
2014-08-01,7.00,6.00,,,,2.00,,,,,,,,,,,,
2014-08-02,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-08-03,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-04,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-05,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-06,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-07,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-08,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-09,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-10,6.00,4.00,,,,2.00,,,,,,,,,,,,
2014-08-11,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-12,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-13,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-14,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-15,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-16,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-17,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-18,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-19,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-20,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-08-21,4.00,2.00,,,,2.00,,,,,,,,,,,,
2014-08-22,4.00,2.00,,,,2.00,,,,,,,,,,,,
2014-08-23,4.00,2.00,,,,2.00,,,,,,,,,,,,
2014-08-24,4.00,2.00,,,,1.00,,,,,,,,,,,,
2014-08-25,4.00,2.00,,,,1.00,,,,,,,,,,,,
2014-08-26,4.00,2.00,,,,1.00,,,,,,,,,,,,
2014-08-27,4.00,2.00,,,,1.00,,,,,,,,,,,,
2014-08-28,4.00,2.00,,,,2.00,,,,,,,,,,,,
2014-08-29,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-08-30,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-08-31,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-01,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-02,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-03,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-04,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-05,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-06,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-07,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-08,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-09,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-10,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-11,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-12,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-13,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-14,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-15,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-16,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-17,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-18,4.00,2.00,,,,3.00,,,,,,,,,,,,
2014-09-19,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-20,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-21,5.00,3.00,,,,3.00,,,,,,,,,,,,
2014-09-22,5.00,3.00,,,,2.00,,,,,,,,,,,,
2014-09-23,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-24,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-25,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-26,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-27,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-28,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-29,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-09-30,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-10-01,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-10-02,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-10-03,5.00,4.00,,,,2.00,,,,,,,,,,,,
2014-10-04,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-05,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-06,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-07,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-08,7.00,6.00,,,,2.00,,,,,,,,,,,,
2014-10-09,7.00,6.00,,,,2.00,,,,,,,,,,,,
2014-10-10,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-11,6.00,5.00,,,,2.00,,,,,,,,,,,,
2014-10-12,7.00,6.00,,,,2.00,,,,,,,,,,,,
2014-10-13,8.00,7.00,,,,2.00,,,,,,,,,,,,
2014-10-14,9.00,8.00,,,,2.00,,,,,,,,,,,,
2014-10-15,9.00,8.00,,,,2.00,,,,,,,,,,,,
2014-10-16,9.00,8.00,,,,2.00,,,,,,,,,,,,
2014-10-17,10.00,9.00,,,,2.00,,,,,,,,,,,,
2014-10-18,10.00,9.00,,,,2.00,,,,,,,,,,,,
2014-10-19,10.00,9.00,,,,2.00,,,,,,,,,,,,
2014-10-20,10.00,9.00,,,,2.00,,,,,,,,,,,,
2014-10-21,11.00,10.00,,,,2.00,,,,,,,,,,,,
2014-10-22,13.00,12.00,,,,2.00,,,,,,,,,,,,
2014-10-23,14.00,13.00,,,,2.00,,,,,,,,,,,,
2014-10-24,14.00,13.00,,,,2.00,,,,,,,,,,,,
2014-10-25,14.00,13.00,,,,2.00,,,,,,,,,,,,
2014-10-26,14.00,13.00,,,,2.00,,,,,,,,,,,,
2014-10-27,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-10-28,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-10-29,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-10-30,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-10-31,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-01,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-02,14.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-03,15.00,14.00,,,,3.00,,,,,,,,,,,,
2014-11-04,17.00,16.00,,,,3.00,,,,,,,,,,,,
2014-11-05,17.00,16.00,,,,3.00,,,,,,,,,,,,
2014-11-06,16.00,15.00,,,,3.00,,,,,,,,,,,,
2014-11-07,16.00,15.00,,,,3.00,,,,,,,,,,,,
2014-11-08,16.00,15.00,,,,3.00,,,,,,,,,,,,
2014-11-09,16.00,14.00,,,,3.00,,,,,,,,,,,,
2014-11-10,16.00,14.00,,,,3.00,,,,,,,,,,,,
2014-11-11,16.00,14.00,,,,3.00,,,,,,,,,,,,
2014-11-12,16.00,14.00,,,,3.00,,,,,,,,,,,,
2014-11-13,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-14,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-15,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-16,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-17,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-18,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-19,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-20,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-11-21,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-22,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-23,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-24,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-25,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-26,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-27,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-28,13.00,11.00,,,,3.00,,,,,,,,,,,,
2014-11-29,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-11-30,14.00,12.00,,,,3.00,,,,,,,,,,,,
2014-12-01,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-12-02,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-12-03,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-12-04,15.00,13.00,,,,3.00,,,,,,,,,,,,
2014-12-05,16.00,14.00,,,,3.00,,,,,,,,,,,,
2014-12-06,15.00,14.00,,,,3.00,,,,,,,,,,,,
2014-12-07,15.00,14.00,,,,3.00,,,,,,,,,,,,
2014-12-08,15.00,14.00,,,,3.00,,,,,,,,,,,,
2014-12-09,15.00,14.00,,,,4.00,,,,,,,,,,,,
2014-12-10,15.00,14.00,,,,4.00,,,,,,,,,,,,
2014-12-11,15.00,14.00,,,,4.00,,,,,,,,,,,,
2014-12-12,16.00,15.00,,,,4.00,,,,,,,,,,,,
2014-12-13,16.00,15.00,,,,4.00,,,,,,,,,,,,
2014-12-14,15.00,14.00,,,,4.00,,,,,,,,,,,,
2014-12-15,14.00,13.00,,,,4.00,,,,,,,,,,,,
2014-12-16,14.00,13.00,,,,4.00,,,,,,,,,,,,
2014-12-17,14.00,13.00,,,,4.00,,,,,,,,,,,,
2014-12-18,13.00,11.00,,,,5.00,,,,,,,,,,,,
2014-12-19,13.00,11.00,,,,5.00,,,,,,,,,,,,
2014-12-20,13.00,11.00,,,,6.00,,,,,,,,,,,,
2014-12-21,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-22,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-23,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-24,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-25,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-26,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-27,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-28,12.00,10.00,,,,6.00,,,,,,,,,,,,
2014-12-29,11.00,9.00,,,,6.00,,,,,,,,,,,,
2014-12-30,11.00,8.00,,,,6.00,,,,,,,,,,,,
2014-12-31,11.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-01,11.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-02,11.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-03,9.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-04,9.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-05,9.00,7.00,,,,6.00,,,,,,,,,,,,
2015-01-06,10.00,8.00,,,,6.00,,,,,,,,,,,,
2015-01-07,10.00,8.00,,,,6.00,,,,,,,,,,,,
2015-01-08,10.00,8.00,,,,5.00,,,,,,,,,,,,
2015-01-09,10.00,8.00,,,,5.00,,,,,,,,,,,,
2015-01-10,10.00,8.00,,,,5.00,,,,,,,,,,,,
2015-01-11,10.00,8.00,,,,5.00,,,,,,,,,,,,
2015-01-12,10.00,8.00,,,,5.00,,,,,,,,,,,,
2015-01-13,11.00,9.00,,,,5.00,,,,,,,,,,,,
2015-01-14,11.00,9.00,,,,5.00,,,,,,,,,,,,
2015-01-15,11.00,9.00,,,,5.00,,,,,,,,,,,,
2015-01-16,11.00,9.00,,,,5.00,,,,,,,,,,,,
2015-01-17,12.00,10.00,,,,5.00,,,,,,,,,,,,
2015-01-18,12.00,10.00,,,,5.00,,,,,,,,,,,,
2015-01-19,12.00,10.00,,,,4.00,,,,,,,,,,,,
2015-01-20,13.00,10.00,,,,4.00,,,,,,,,,,,,
2015-01-21,13.00,10.00,,,,4.00,,,,,,,,,,,,
2015-01-22,13.00,10.00,,,,4.00,,,,,,,,,,,,
2015-01-23,14.00,11.00,,,,4.00,,,,,,,,,,,,
2015-01-24,14.00,11.00,,,,4.00,,,,,,,,,,,,
2015-01-25,15.00,11.00,,,,4.00,,,,,,,,,,,,
2015-01-26,16.00,12.00,,,,4.00,,,,,,,,,,,,
2015-01-27,16.00,12.00,,,,4.00,,,,,,,,,,,,
2015-01-28,16.00,12.00,,,,4.00,,,,,,,,,,,,
