Date,Curve,Uniswap,PancakeSwap,SushiSwap ,Balancer,Bancor ,Ellipsis Finance ($),QuickSwap,Trader_Joe,Osmosis ($),Biswap ($),SpookySwap,Orca ($),xExchange ($),Thorchain ($),Katana ($),DODO,ApeSwap
11/18/2021,18985708289,13021263876,5372771837,5045042151,1961072355,1524489615,621917705.2,648426421.8,1612519171,616844398.3,550115937.4,526852621.1,1307222521,92220192.12,351776435.6,1133585730,280369613.6,331515754.4
11/19/2021,19793116635,13572443651,5745360372,5334051081,2054920782,1617764099,607628274.1,684841870.4,1771206773,572195750,531230271.6,628442618.6,1220577161,102477455.9,300504301.2,1243501538,270337393.9,353113923.3
11/20/2021,19862178688,13932338608,5929939727,5419050395,2098419461,1642272766,616520506.4,693622994.9,1849688454,615411992,574085965.2,636189390.9,1311394192,678316349.3,320433409.9,1268268546,289896036.3,361554948.4
11/21/2021,19549342931,13485775930,5762890427,5336919336,2111853863,1602378773,609606615.5,677385487.7,1865847493,634042992,579958587.2,624639866.8,1351391606,931600910.8,328835632,1225511858,289765712.3,347835296.1
11/22/2021,19018124029,13058581366,5593416866,5236496155,2044718004,1527488016,608000881.2,649967327,1931461858,654369913,582498416.5,591924153.5,1309569482,1313811346,315825161.3,1191916029,280995023,335167929.4
11/23/2021,19427437395,13702019199,5866722392,5499069065,2118315468,1586098895,603057115.9,692216515,1847161629,675111583,608724242.7,704619305.6,1257855496,1846515569,299369552.3,1296163552,267866053.4,345391594.1
11/24/2021,19243025759,13293134166,5831203324,5456747197,2068061498,1570081712,599551083,692390651.6,1813619062,699011916,603187790.5,805495766.8,1265899310,1977267076,304740515.3,1262529011,264335254.6,340644772.9
11/25/2021,19792870757,14064250262,6123478833,5602772196,2165692462,1629174702,597567899,727043697.1,1895511285,652948463,640316246.2,816270029.1,1190037958,2104537424,308372541,1315599539,266996236.3,355738533.4
11/26/2021,18976684797,12978659577,5640761049,5071381651,1987974711,1490446377,598736606.4,668313235.2,1680814939,652724431.5,607598999.6,728083483.3,1134538300,2110420988,322211459.5,1183711837,266291983.1,327906124.6
11/27/2021,18840520656,13157672947,5719752296,5126925208,2054094622,1514602953,587540563,671185733.6,1812470245,600093670.7,621072080.5,743417433.3,1058904560,1978052893,297455683,1197262961,256491823.8,330619053.6
11/28/2021,19287603808,13181768273,5816610705,5237993864,2171010776,1550996411,590991175.7,685386457,1803923631,607622960.4,650215171.9,763422516.7,1055130269,2125757827,300098964,1255164196,253028989.2,335968773.4
11/29/2021,19547357417,13373397020,5950154795,5392462765,2097561564,1587667592,595799979.7,710135211.7,1932731102,618822240,662045409.8,796932354.6,1081959306,1975695592,308751407.2,1292980660,278961095.6,343949694.6
11/30/2021,20228630762,13597228091,5979806255,5447787263,2212195917,1611768104,596469226.7,745513085.5,1985230515,632891151,664344976.3,790692528.4,1103416148,1944489217,300313833,1374252702,282658459.8,341540129
12/1/2021,20420288539,13409578206,5955868611,5300610884,2371943805,1585920487,593693937.4,774093456.5,1995437191,643602548,675092686.6,823771055.6,1148064615,1855218957,299562779.4,1440360561,287850131.3,346045705.1
12/2/2021,20203279101,13024255028,5943007738,5122641675,2345245321,1567389668,592527683.9,776885756.2,1882949792,639306841.6,643816800.6,809670995.9,1161368630,2042110081,293069113,1464744029,292376793.5,345266146.1
12/3/2021,19720144854,12461702142,5742474432,4816680909,2247748283,1484669136,596504135.5,752208851.8,1790613146,673072529.2,596010078.6,781983274,1182206639,1534354338,294659502,1484250053,293222384.5,333667335.4
12/4/2021,19474743270,12398660383,5353624865,4604065537,1866965896,1397020747,595468261.5,701304466.1,1719944527,738396192,548381107,712598631.4,1131418066,417914187.3,270521475.1,1256341842,249922969.3,306861940
12/5/2021,19285342327,12409652968,5304044823,4641533852,1871478655,1351465935,579866407.6,710349877.4,1659787142,666780694,550393796.3,662146713.7,1064009292,417914187.3,245043022.5,1206985534,275555817.3,300473668.9
12/6/2021,19672926408,12720242920,5313048082,4720791037,2210349870,1402012123,578798727.3,731702705.9,1565437669,600373713,522267715.7,673886168.2,967361789.5,1348759985,230100815.5,1237300489,272757527,304809200.5
12/7/2021,19845092735,12455284600,5209208693,4711113370,2319567943,1387981563,580806670.1,728005656.8,1582271781,603358361.5,632163594.3,687905470.2,943734427.8,1348312197,233875599.4,1226648524,255411711.7,303450184.4
12/8/2021,20164419905,12731058002,5336162231,4806624973,2305225471,1437164377,580203823.2,760220481.3,1675887802,604093417,733541980.8,716019045.2,935204809,1348759985,229541890.7,1315476756,255250932.6,313578075
12/9/2021,19781354474,11631831367,5021049486,4075755283,2161155948,1351847795,580126590,690952630.1,1550461461,633308775.4,728769902.8,625804075.2,944795562.7,1348552276,238521573.2,1235151958,255090486.7,295172811
12/10/2021,19468011085,11047193471,4890803017,3885678490,2135135172,1284520014,573418931.7,686802527.8,1504352549,580345547.3,727788052.9,627108355.2,901994015.8,1131881843,218293218.1,1204098208,255090486.7,285645290
12/11/2021,20191333797,11398060896,4978421396,4021562077,2201042489,1340885826,570924680.9,710197542.6,1543817745,574725853,747864553.3,664051812.8,852438598.2,1113087706,199710593.7,1284545576,255090486.7,290335291.5
12/12/2021,20475932268,11361664478,5024952111,4095266051,2059597960,1310873429,573281071.6,712430692.5,1560368845,596982180.5,788847111.8,681033962.2,867319230.9,1109934014,204522612.5,1313068898,255090486.7,291773389.2
12/13/2021,19926431985,10689383546,4690645414,3763319869,1997963622,1198623789,574632385.5,647862573.4,1428317276,619049123.6,733399828.4,582401181.7,866905484.6,1172132711,205057270.1,1169366968,255090486.7,287824400.8
12/14/2021,20056416778,10704081944,4805563993,3721673197,1998754690,1234150202,565555671.7,669576412.3,1480535567,559029387.1,801836193.9,601939446.9,800382011.2,1003853884,185216523.8,1228221087,255090486.7,294760896.3
12/15/2021,20359803609,11028460521,5017198912,3837659994,1947456300,1266361778,563079041.2,692628081.9,1566778481,572074686,826347340.5,677712038.6,815708636.2,1091512639,180407251.3,1282596334,255090486.7,306480971.5
12/16/2021,20342134617,10772221616,4975888956,3813091666,1982034010,1250102409,559315766.4,692673123.4,1594871265,590350452,862317838.7,663761945.6,847319265.9,1220898061,185586180.7,1252421648,255090486.7,281133028.2
12/17/2021,20427566156,10601231999,4957007836,3713773248,1911134094,1230695847,553450512.9,709656675.1,1641185310,575690633,877719078.9,662674493.7,845365966.3,1028395925,181931561.2,1219853913,255090486.7,278797173.2
12/18/2021,20800556878,10760427448,4998872298,3796490108,1955923696,1259955532,554262497.3,734724230.3,1683970087,561105119,922331344.5,632635519.6,831586243.9,1014628118,172716406,1221244161,255090486.7,291002856.6
12/19/2021,20877121674,10783426229,4986275814,3811034827,1968496412,1238174261,554989058.2,731622627.7,1603993841,606411135,943232048.4,658428087.5,825876298.2,1009788431,177626793.4,1216509825,255090486.7,288191641.4
12/20/2021,20994293072,10765091840,4929955799,3919663447,1889665563,1246635514,554726786.1,711540719.8,1663299990,598085083.6,961589746.6,630480212.5,815458611.2,945831748.4,168781541.2,1209117277,255090486.7,283529224.4
12/21/2021,21017448015,10874873484,4977532969,4019808707,1896182201,1283421566,552379795.9,740341362.9,1788110308,599722038,1007669280,689344411.1,768223310.3,928924672.2,171573681.3,1260623057,255090486.7,288393206.9
12/22/2021,20928344432,8864294421,5004361308,4044216264,1863136333,1305973099,554767799,768842234.6,1742522320,645544999,1100749796,738024452.9,777952377.2,962931406,178870639.3,1294668770,255090486.7,290933157.2
12/23/2021,21257762580,9086943222,5114722388,4161633977,1899252881,1363994746,554855283,812950115.2,1834751401,721253558,1053573951,835111348,773747318.3,988785421.9,182596670.7,1329174841,255090486.7,303023382.6
12/24/2021,21216917685,9067635733,5105222675,4092153078,1950333864,1350471297,557578902.5,833923956.3,1804907022,755329342,967227777.8,924490364.8,803153537.4,1082409056,195874245.8,1335387182,255090486.7,298306749
12/25/2021,21356971473,9195798154,5153384129,4145549315,1966318138,1371073958,558207644.1,857454108.2,1818427144,738479377,869152170.4,943082648.4,803964881.5,1049493426,200381410.2,1378131880,255090486.7,301826544.9
12/26/2021,21964737111,9196056681,5155751835,4101899017,1987056546,1384341910,561013357.6,875353828.9,1790390539,778826089,849645836.7,1038513513,804003540.2,1070559637,203997171,1361074227,255090486.7,305313630.9
12/27/2021,22156991307,9182426367,5263959870,4102060033,1994025102,1396034159,561690342.6,866332653.1,1758559945,818343649.9,803644800.9,997481682.6,807214061.5,1095800533,198876006.6,1365149128,255090486.7,309595098.4
12/28/2021,21874218494,8754424899,5075803718,3982535095,1949218247,1304524594,565810528.7,851505624.5,1711230597,775494069,738063506,999726297.3,807461304.7,1127750766,213533507,1264848117,255090486.7,302242278.6
12/29/2021,21607059601,8477000928,4955383756,3835086649,1788213106,1246839802,563539598.7,832155848.2,1675509866,727470185,681055734.9,973418734.6,773360024,1043043759,200879037.3,1179199112,255090486.7,285542558
12/30/2021,22141037884,8583492542,4991639963,3904469494,1840860667,1265209516,565125166.7,841220041.9,1679454114,755391766.4,667553346,979125682.8,748011180.4,1041975462,187976647.7,1209311014,255090486.7,283462992.7
12/31/2021,22110604954,8569593248,4940931150,4090164125,1789907105,1251544522,558696757.4,841974428.9,1486867285,811632843,661267903,1043742951,717422734.4,1042245870,190734898.4,1175808818,240018237.9,277627436.7
1/1/2022,22507710734,8713673757,5033108226,4189958268,1844052741,1302846015,563174019.8,863966930,1526210466,854203867,683042930.4,1199363616,707217258.1,1067734376,191255737.5,1207412638,241232206.4,293423271
1/2/2022,23202387896,8892317629,5078219207,4244034158,1875810505,1322503765,559277342.7,868785871.4,1527899940,893444413,700915818.9,1188985689,727213413.8,1064165195,200375520,1216991037,245725903.4,302766061.1
1/3/2022,23259957568,8829518711,4990476250,4247710374,1839253010,1315299491,558822865.5,848244485,1493500931,892735776,691963613,1314926367,719560334.6,1046185866,203273173.9,1221679496,254329716.8,288449570
1/4/2022,23516189820,8856498374,4993071616,4235574280,1842217668,1327408445,557121001.2,842555075.2,1440792771,1003108323,703117937.7,1353227663,700166387.2,1018146565,201628950.9,1204343216,254806809.9,278135718.1
1/5/2022,23279288256,8434158249,4735241862,4028941681,1778709046,1280785798,558746044.3,796548479.7,1384547724,1102043252,653470222.3,1304597608,707325736.4,1039497206,207337095.4,1076759181,252150653,260394160.2
1/6/2022,23178867086,8324773460,4674474703,3968523972,1709747156,1460286847,559204693,803118663.2,1404287013,1085029277,658165914.8,1267211020,668837382,956314329.4,197877226,1034653487,248123826.7,258629577.5
1/7/2022,22714473016,7835018466,4480437917,3759132784,1803220860,1415777595,548157999.9,759495326.3,1303595435,1138482009,616010949.5,1197483181,609593990.8,924064181.5,192260237.1,968026630.2,244908800,242526294.8
1/8/2022,22389058423,7727522358,4369971357,3640383246,1780100757,1397659363,541174456.8,751418683.6,1271091006,1150575521,598127929.4,1045897196,516396190.7,870096087.5,184970612,916036554.3,247942965.5,235269584
1/9/2022,22432730139,7853169633,4439190079,3707231476,1806860626,1429998386,537642365.7,775357110.5,1306638623,1105897894,602638944.9,1127913570,512232772.9,842180736.2,181550392.3,930741696.3,245907540.5,240045216.1
1/10/2022,22491557649,7755782393,4347868238,3555672030,1770719230,1360801950,594588454.5,758957715.3,1259073034,1092781503,572072703.2,1069363339,514886973.3,866010937.9,183956188.7,890884344,245175726.7,234060550.4
1/11/2022,23125387319,8124306307,4508011325,3727438678,1836091707,1399836491,651182720.3,803247121,1303717578,1133118130,544372349.1,1276645310,469524143.8,835374244.1,173851511.3,935226091.8,246953856.3,246286722.1
1/12/2022,23476607394,8207309145,4647087980,3890930634,1930974683,1434791026,650831602.2,830644652.7,1359931399,1214872625,548412260.8,1458440204,473625761.8,919970424.9,183441018.7,998868248.6,238281169.4,251585843.2
1/13/2022,23042213096,8039331067,4536495357,3774785985,1877583597,1378165327,652316730.8,812629859.4,1310538156,1238292473,521947124.9,1498195675,498333323.7,940869236.9,192760730.7,953029799.8,239051502.1,246710016.9
1/14/2022,23373437933,8153958439,4598760604,3921115725,1902191423,1399686423,650766094.4,841138282.6,1326094715,1233287432,509641826.6,1499118315,493817650.4,887741864.7,190097215.1,956458340.7,250284555,250172284.7
1/15/2022,23304888402,8227205713,4621768458,3945875714,1933144519,1389133593,650131628.4,835902090.3,1339002611,1314998327,511584344.5,1554714173,518836299.9,907566850.2,190902137.1,970335885.7,250337430,250791942.3
1/16/2022,23459905020,8302018498,4609554508,3905530932,1946332075,1413690823,648992996,835484842.8,1106776107,1344822781,511615686.8,1703841496,524802763,908835139.5,192559278.7,1006060038,251328449.3,251684481.9
1/17/2022,23278976114,8039918832,4466058320,3749686089,1925743371,1350722223,648881373.1,807157633.6,943901622.3,1465647168,487083426.4,1525598207,531471581.5,882879899.8,191674811.2,957261239.1,259151008.5,238422611.3
1/18/2022,23204233178,8101326573,4422491376,3696989974,1898941921,1328510535,645829122.9,800205970.4,945339775.1,1365365417,475468301.1,1532609517,525187058.3,866217061.2,186216554.4,949029139.3,252999310.3,215136589
1/19/2022,23163845365,7982941502,4367312499,3643643426,1896716637,1295544991,643998919,791810250.5,909800614.2,1355767726,468045542.6,1443052116,519392461.3,786982085.3,189659414.1,923605129,255103989.5,211162090.1
1/20/2022,22935432238,7863289861,4285280916,3562812620,1895319395,1246468886,642598123.4,768235590.3,895044553.5,1367654811,503037763.4,1405826805,518250492.5,770915937.6,186461816.8,899348984.5,253817440.9,209132289.1
1/21/2022,21921128730,6906065070,3861998633,3088255789,1634607593,987532350.3,640198738.9,644306034.9,754283077.2,1386060626,417513569.2,1117226495,494525231,751044668.5,176411538.4,709615872.6,253146802.6,190267786
1/22/2022,21269870109,6506163909,3609253842,2851192546,1522838099,935172184.8,631894475,603475524.1,678875393,1226092077,361222327.4,951285015.6,439290368.3,622765592.8,153256690.1,611264688.6,451883000.8,177295494.4
1/23/2022,19838202042,6680585687,3803730132,2960999664,1555927052,972082504.5,629554882.4,626686192.2,716515821.9,1154791078,380330941.8,1148375176,381676761.3,583462929.7,137580618,668025955,253427794.4,189595203.5
1/24/2022,19584291998,6473117387,3696838676,2865419934,1471962636,948332559.3,628218057.3,605893860,690616277.6,1260657101,378601004.1,1100639519,376858582.1,597016820.3,143607664.2,641274484.4,252011395.3,179694073
1/25/2022,19254249729,6590624994,3779657022,2849585616,1478316191,943504469.1,622333526.7,621862197.2,717909103.5,1263412739,422267689.9,1247480202,362860387.1,600722193.6,142130531.4,654064556,262620563.5,184035747.5
1/26/2022,19584914333,6563556225,3741606530,2739157278,1472370803,940040189,623924726.7,611588788.9,710706115.8,1268846252,444368166.5,1249671660,382295033.2,630973678.7,151828297.8,646619463.3,262749589.1,180873611.7
1/27/2022,19417101568,6534091554,3807838320,2655906546,1472487341,946542226.1,620612254.4,624196276.5,656489755.3,1208269122,442550606.9,1187599523,379600656.9,648173174.5,152600652.2,670588463.3,270767547.5,182733137.3
1/28/2022,16474923986,6818223179,3849958424,2776000711,1522484210,990428940.6,620989741,651789598.9,755236766.1,1139566763,444604573.2,1239985194,370825213.2,668824395.4,153585666.2,721178444.2,263663647.8,185436891.5
1/29/2022,15785755037,6915445045,3903012053,2854285831,1613413289,995052204.3,620526059.5,666240968.8,794362508.5,1135600669,429014535.3,1253451798,390615395,675295988.5,155732704.7,664506690.5,266289951.4,187356985
1/30/2022,16037827089,6897757117,3819242272,2862832355,1601450681,1016607624,619228122.6,656623173.8,792143212.1,1122204891,432711669.2,1211207824,405378842.8,698332491.1,160414706.6,701737104.3,235223377.1,182134137.4
1/31/2022,16403230806,7056188012,3822040976,2974708254,1608896189,1029496251,616553576.3,667923913.1,771769665.7,1036540795,437151760,1235325718,405518194.2,645558225.5,152934151.5,693041234,230797765.2,180968859.1
2/1/2022,16703955386,7232089513,3886334339,3042227175,1648342680,1034933078,618138293.4,682299727.8,830544264.9,1158331907,444055973.5,1292506673,432994760.8,687436293.2,160147371,706286947,233512602.9,181937250.5
2/2/2022,16716603177,7082297379,3774398160,2934681548,1626982892,994202760.9,618303123.6,657908675.9,804234903.9,1187502543,435860026.4,1206200806,463247126.8,716245551.2,164841541.4,613943661.5,233573563.5,175312972.6
2/3/2022,16812177832,7132586288,3864369424,2936724961,1651559942,1000805917,614982195.4,639304585,800152201.6,1108955342,444530521.3,1258123665,444748598.2,665229562.1,154648946.7,421488310.7,228796804.9,167140687.2
2/4/2022,17662616563,7481236764,4136872495,3142004225,1747073716,1080021027,615541312.6,667391216.2,892450362.5,1207383841,470055266.8,1355263472,452757190.1,665242677.7,153639634.6,371450091.9,231698717.8,176065419.8
2/5/2022,17941205488,7756168439,4209554434,3231496941,1780412846,1116517166,619637300.6,680153110.2,879607819.7,1286351360,474543537.6,1340171174,483221120.4,726735987.3,170092424.7,367456068.8,233702387.4,179673782.6
2/6/2022,18089173507,7893783870,4247906187,3269205939,1827389877,1111834301,617956383,690299185.8,900855739.5,1303596715,481412908.1,1396617488,485943983.8,760597559.3,175410039.4,382903610.3,239006272.4,182812733.1
2/7/2022,18334084888,8044448447,4345042359,3356775240,1883321683,1157151568,618333954.4,726414333,939443425.2,1344846669,493587822.7,1445706653,488817845,780738091.3,177794122.9,400646031,243905918.6,189994876.3
2/8/2022,18210665662,8029202899,4268102146,3338684516,1850833173,1140064457,618478086.4,719787079.8,955120597.2,1396540588,484973297,1361374376,492426409,827582051,186297638.7,367926624.1,250915744.5,183453084.6
2/9/2022,18466287991,8271760242,4360762718,3447704816,1923376160,1190602156,617662421,753604733.6,989638383.8,1348836764,493629178.9,1411128501,491146070.2,810542534.2,184092694.8,382699741.8,256119983.6,188527213.8
2/10/2022,18282241570,7977870831,4293025779,3331911353,1866662299,1159160219,621841705.7,771141522.8,980979936.5,1372497858,482867041.6,1336496820,492057240.6,839134769.2,185519324.4,370527620.8,367236479.6,184583788.4
2/11/2022,18169723568,7652853719,4194485228,3158734485,1841251480,1111472316,626478795.3,736636441.8,949221994.3,1320535622,460970094.3,1240553845,473789214.9,829365044.2,177808571.3,339861526.6,367236479.6,178102079.1
2/12/2022,18251573288,7670380803,4213213996,3153088200,1866704703,1107385530,622388719.2,700925554.8,953150191,1260406429,479903994,1266042508,450320715.6,910197040.6,167364813.9,337845702,367236479.6,176380884.8
2/13/2022,18138794542,7644873206,4198503940,3111777056,1852444368,1090051961,620374508.8,703641962.9,925593830.7,1270170511,470332823.9,1223535516,441626898.3,933198145.4,167694073.7,337110353.1,367236479.6,174646455.4
2/14/2022,18202919611,7745669964,4224673280,3156134720,1911584090,1106140651,620122043.4,717006912,955806561.6,1247614774,472773724.5,1241966425,435154330.1,902388872.5,164328268.4,334030732.3,367236479.6,175662379.1
2/15/2022,18463552964,8159701346,4333263405,3380570316,1940681651,1188392728,623998692,783944409.2,1042858613,1382887649,440498030.4,1367092102,432524291.8,892282215.3,166488965.7,376747842.5,367236479.6,183786644.5
2/16/2022,18351430936,8167466837,4243090952,3351476610,1919326661,1168444939,623901721.9,777146396.7,1076401327,1382887649,426785598.6,1367743621,447162496.9,927012648.4,175733425.9,368322209.8,367236479.6,182774890.9
2/17/2022,17937728816,7909449811,4077451481,3128446973,1796653467,1074311154,623232883.1,789157698.1,1066071025,1378607958,409778663.2,1273261968,443056652.2,926679601.1,173939464.9,330838979.2,367236479.6,173536185.9
2/18/2022,18025996230,7726077335,4069945218,3048467078,1734841473,1039362953,619965794.2,771505625.7,1049947626,1361231130,401788101.2,1264929329,427982135.2,831657361.7,165188305.8,327934110.9,367236479.6,171139668.6
2/19/2022,17917771703,7563970522,4060074828,3008118594,1732111596,1040855593,618757394.2,772428700.4,1038884476,1367944707,405831636.9,1285105329,418133392.4,797599977,162038931.5,326495408.5,367236479.6,170038749.5
2/20/2022,17693966426,7338016170,3892014796,2892892289,1677022377,993535562.8,620125209.6,743636083.4,949179784.8,1364024468,392458036.8,1211773248,417215467.7,793166986.7,160271898.2,301858106.4,367236479.6,162735225.7
2/21/2022,17379695449,7189423669,3829918659,2805291157,1690226090,954059485.8,616654740.3,721928221.8,905482022.2,1339092937,416004137.5,1118758690,408242351,768792694.9,153939865.3,286750510.6,367236479.6,158003908.3
2/22/2022,17484669575,7180567890,3932953680,2845160676,1673367987,989760219.7,614909189.2,734114660.3,957342149,1278539202,425768114.6,1166422755,395378709.8,727016630.1,146395987.8,291042978.6,367236479.6,163258212.8
2/23/2022,17203609036,7071665371,3892007715,2791274872,1691428520,960966138.4,614785264.4,724153084.9,937799348.1,1337613717,420515463.7,1082516807,398844700.4,746392743.7,150373981.1,295958136.8,367236479.6,160322244.9
2/24/2022,17215667859,6955789497,3791192846,2688731274,1677134001,958575740.7,614739529.9,682062353.9,926313656.4,1384984065,399556087,955943369.3,394673560.1,727218512.5,146874694.5,270461115.5,367236479.6,156171509.4
2/25/2022,17004877616,7123144398,3880538812,2864023686,1735689440,1009644830,613488148.2,746522758.4,1006893636,1405555683,408741732.9,1054470882,383710823.1,641424792.4,147374837.8,297150980.5,367236479.6,161809314.9
2/26/2022,16873276373,7176918403,3869513237,2867760583,1734419296,1002193927,616066976.7,745622966.1,1005021829,1501757021,416132126.9,1069926320,392697634.3,703602575.7,153616089.8,297354174.4,367236479.6,160349226.9
2/27/2022,16714847503,6986772168,3807868103,2727126132,1675713053,960427942.6,616861214,719765510.5,940724042.5,1606520685,406986563.3,963921785.4,383992610.4,668425680.5,156155694.1,281223875.5,367236479.6,154824343.2
2/28/2022,17181024034,7411719362,4038828639,2939835046,1812162163,1073030420,615534087.6,777940614.2,1040064946,1478074158,409161930.6,1085331987,374260889.2,639007281.4,149037350.4,329990091.6,367236479.6,164963655
3/1/2022,17133148627,7597897588,4022077848,2990220560,1820202739,1087495834,620195892.6,789564478,1058360693,1702450833,361650006,1129138752,390414671.5,707064074.4,167210320.5,334639227.5,367236479.6,158638249.4
3/2/2022,17182283015,7597459876,3976445261,2967461656,1808343992,1079398841,615257013.5,787899891.1,1025160189,1685027166,372841462.6,1195386493,396732031.8,686260406,187457306.2,327670464.7,367236479.6,153639828.4
3/3/2022,17313687717,7441211640,3928514763,2870184822,1733277665,1053330692,615390995,765691111.8,1006912393,1831730122,363823360.8,1160138983,412741659.2,695476546.5,189373816.3,314369690,367236479.6,150952204
3/4/2022,17384529266,7086992789,3759392869,2696947690,1656653506,986730318.5,613686119.8,733936970.8,990321128.2,1797820068,348091664.3,1050072135,409048167.9,644302480.5,187497422.6,294623069,367236479.6,141714424.2
3/5/2022,17621626673,7174657870,3816220202,2720257585,1672167144,1002368871,611279462.3,744752646.9,1007211389,1678904024,351890085.8,1076300589,396382496.2,615026541.7,180580430.8,301374474,367236479.6,142728193.1
3/6/2022,17288286251,6948352900,3745176410,2594998102,1626013380,955275307,615212082.2,725150734.2,957609965.6,1730988061,349401181.6,831444110.9,402695109.9,627464276.5,182384618.1,280800255,367236479.6,139671656.2
3/7/2022,17091202300,6847640470,3764073690,2542004746,1609402869,936801013.4,610959968.3,711053783.2,953906477.9,1632189937,338302643.3,827971284,390032361.6,592935706,178184515,270755083.2,367236479.6,138662814
3/8/2022,17118800807,6967281035,3768421720,2580666993,1626444921,959785326.3,612384606.2,724671115.4,1005322752,1674068963,337012736.5,820773411.2,354329968.8,599716463.3,173207564.6,276476853.7,367236479.6,139175533
3/9/2022,17331976607,7216312267,3981942265,2690321654,1708491930,1033973199,616486611.3,749143043.5,1047774774,1670623562,376945165,873540677.2,356420332.4,613724166.8,174402376.5,294224069.7,367236479.6,144089483.7
3/10/2022,17089583235,7107785132,3903640308,2372763584,1668703080,984054234.2,619741174.6,718894645.5,989981501.5,1749343209,359756759.8,812282434.7,363643238.8,634695052.6,196553482.3,284110337,367236479.6,139143013.5
3/11/2022,17052639838,7039870322,3908560736,2345813484,1642096348,964576861.4,616809016.1,706826320.5,971459865.8,1681488055,351271688.4,755452698.2,345413854.5,633648850.6,193531165.7,277034078,367236479.6,137493575.7
3/12/2022,17014059850,7059949685,3932058672,2359939868,1642427509,966245639.6,616149649.2,699644792,973077478,1648443983,356230194.3,727217480.6,342875857.2,622134971.2,208473202.8,279177429.4,367236479.6,137773357.3
3/13/2022,16869528176,6948878424,3844603072,2324718452,1618771720,942145866.7,617282197.1,688033900.9,936401594.8,1617251081,345783555.2,698186078.9,339121885.4,622748983.7,227070513.6,271420988,367236479.6,134866165.4
3/14/2022,17047491434,7045936314,3912198458,2337311759,1643409370,943979793.7,612344542.6,672278574.1,941136454.2,1599802480,351526889.3,676691977,330687565.2,595229741,227273014.8,277391183.8,367236479.6,136965316.4
3/15/2022,17131352016,7083097669,3896187989,2352068360,1651706780,957054883.4,615105762.5,684668286.9,956274349.5,1643703841,362624589,726358791.9,324554961,625009045.2,251546810.2,276093876.2,367236479.6,136515723.3
