Date,Uniswap ($),1inch ($),Curve ($),SushiSwap ($),0x ($),DODO ($),Trader Joe ($),PancakeSwap ($),Balancer ($),QuickSwap ($),ParaSwap ($),CoW Protocol ($),KyberSwap ($),Osmosis ($),Maverick Protocol ($),Camelot ($),Thena ($),Uniswap Labs ($),Ramses Exchange ($),Lighter ($)
1/1/2022,1418874403,480589847.7,422353402.8,435862411.6,301689078.2,97762704.22,232092723.9,0,65828528.63,64980700.68,66553938.56,40351358.12,5330479.05,72876796,0,0,0,0,0,0
1/2/2022,1394270070,455263933.5,286777453.1,366046002,270489668.2,98885821.77,338113286.1,0,57915322.63,57214262.15,71406355.1,73369746,6634289.57,64699786,0,0,0,0,0,0
1/3/2022,1683975943,498905616.5,307815915.7,480498566.2,356815108.8,130879998,389751889.9,0,66817453.28,67451837.77,68333014.41,55859627.31,8360775.58,95448258,0,0,0,0,0,0
1/4/2022,2048349053,480363903.6,325399568.4,446830524.4,372607275,127023439.4,376268104.2,0,55016955.36,58972263.9,53976357.2,46985581.76,8339615.4,122192297,0,0,0,0,0,0
1/5/2022,2782384993,704702591.8,475400573,765094721.2,437027199.4,167879345.2,504726132.3,0,93779943.33,128651861.9,76230653.38,76411130.78,10113367.89,109270717,0,0,0,0,0,0
1/6/2022,2524836890,798845265.1,673804079.7,620633126.9,461087271.5,253129756.4,368787174.5,0,90313686.91,108314605.5,94115274.05,67861372.84,11137204.42,89614053,0,0,0,0,0,0
1/7/2022,3113015870,710276379.4,729551293.6,731453418.9,576693517.9,197032861.6,439950336.9,0,130262586.9,120173313.6,102210486.9,78148520.04,15321922.67,168829222,0,0,0,0,0,0
1/8/2022,2446335421,568393413.2,382956158.8,462149946.2,381164735.6,163546462.4,365311748.2,0,79967196.67,85463038.14,77470782.54,51285643.72,9136915.79,101984107,0,0,0,0,0,0
1/9/2022,1481503525,365007568.6,360771297.3,265620683.3,240739856.3,159568886.3,277860762,0,53567388.58,61593105.58,58787435.31,42074161.46,5458766.56,103960489,0,0,0,0,0,0
1/10/2022,2993693483,671452905.7,439183960.4,691426178.1,432241343.4,193311607.7,339885089.6,0,87638928.01,89048546.24,93136380.14,58084181.66,7152564.74,100264446,0,0,0,0,0,0
1/11/2022,2126741653,539916124,274153086.4,468760894.4,381833580.4,157643935,264693683.5,0,59102265.51,70422778.83,72106565.94,68785146.39,5714882.11,78708783,0,0,0,0,0,0
1/12/2022,2134349932,608508425.1,182779097.1,411466158.3,321516685.9,201801275.3,241775886.5,0,68784054.66,74301413.03,77637681.38,52124546.51,7168646.14,106509551,0,0,0,0,0,0
1/13/2022,2325124059,657566163.8,282200085,369881713.8,350095151,244936001.6,232068946.9,0,77402910.26,79905955.97,65477245.47,46152316.56,8804645.45,83916145,0,0,0,0,0,0
1/14/2022,1871004047,469280932.7,206839110,332009878.1,287194858.8,188731565.2,222284837.8,0,57403741.63,69602411.31,60846497.61,42219547.56,9518390.51,77866450,0,0,0,0,0,0
1/15/2022,1366761530,386325765.6,143889788.1,273643269.1,257118088.3,172021294.1,292414370,0,46022972.62,49885186.12,51391651.72,46333249.4,12796398.33,71793879,0,0,0,0,0,0
1/16/2022,1425804463,375747506,247978666.6,372721712.7,217967221,171588973.4,345167775.5,0,52574672.21,47596812.91,47996787.09,38449677.95,17186915.1,89969664,0,0,0,0,0,0
1/17/2022,2047053056,568280197.4,257495704,919697728.9,311278733.3,190631227.4,559260781,0,98390418.59,66652682.67,92599597.97,57173484.56,12233717.81,150932331,0,0,0,0,0,0
1/18/2022,2175505016,552305401.5,223136124.4,544868418.7,354466312.1,216164890.4,244370996.6,0,58484069.2,59029073.14,94335506.6,82067055.82,11240402.05,118772061,0,0,0,0,0,0
1/19/2022,2145301266,546529900.3,429882622.9,414129770.8,286506877.5,205560421.4,228731803.5,0,77568437,52608114.21,106239254.3,96560285.02,13260872.62,103392354,0,0,0,0,0,0
1/20/2022,2314956344,686269751.6,351812242.5,425646820.7,394531239.9,198013308.8,201879651,0,88170904.64,60956263.03,104946213.8,150640312.9,16986985.72,114665313,0,0,0,0,0,0
1/21/2022,5120951014,1182299225,1456668398,916139627.9,1048159270,303839318.3,421794523.5,0,211944018.5,174665278.1,143937112.2,66265408.27,39071517.25,186204713,0,0,0,0,0,0
1/22/2022,3873955275,1698308284,1718690971,785628919,753050632.6,431315174.1,408483875.3,0,278795433.2,175505104.1,170198286.1,61874885.55,24887165,178531535,0,0,0,0,0,0
1/23/2022,2757988583,657381128.8,368385803.8,343287348.7,312072194.1,196342088.9,208979332.9,0,118155675.8,71499761.33,66753568.39,23336669.84,12295563.73,129312806,0,0,0,0,0,0
1/24/2022,4059054993,1342804763,888455481.1,685591380.8,602129227.2,380107115.3,318639562.5,0,185407679.1,135930025.1,126169251.2,81290755.41,34125513.91,171253452,0,0,0,0,0,0
1/25/2022,2102896117,630372799.3,484481267.5,444915351,327402343.4,250383088.3,223022767.4,0,84997421.72,78155685.15,93085535.08,44303643.54,23516520.54,125209815,0,0,0,0,0,0
1/26/2022,3147392903,887568524.8,732280128.1,818747372.5,593115548.2,284169186.1,319944412.1,0,140718621,96524791.83,120486684,112103730.8,25737425.91,124351450,0,0,0,0,0,0
1/27/2022,2549599198,865875525.2,1492533235,778198096.1,787238171.7,232805568.1,419931214.4,0,102808342.2,86558991,147913162.7,194811874.3,41258978.31,109476074,0,0,0,0,0,0
1/28/2022,2648513770,1264650198,1500878796,380999500,404011429,292633274.4,268271124.5,0,75869831.25,69230138.54,125647240.1,83909200.78,28898314.18,112919443,0,0,0,0,0,0
1/29/2022,1699502418,607019031.5,962980735.8,306851313.1,237048497.1,210715400.6,268899276.1,0,58020399.86,48680780.18,47666888.67,28474812.27,24015343.03,66594665,0,0,0,0,0,0
1/30/2022,1362285524,399794951.6,365904067.6,350583523.1,208380734,163108583.6,166670721.8,0,55579136.8,40495362.24,65102625.56,31766589.12,34773326.09,49430296,0,0,0,0,0,0
1/31/2022,1763534661,495283254.3,438644920.8,303030203.8,206968031.3,192609278,231937845.1,0,70423055.15,50622743.42,68574165.74,29627527.76,23633178.58,91870914,0,0,0,0,0,0
2/1/2022,1972508303,512157527.9,331591557.8,239761360.4,309767233.2,167546486.8,276382072.5,0,59732025.77,57680766.68,60752613.58,32107555.82,30476664.46,82908549,0,0,0,0,0,0
2/2/2022,1856157791,384953540.2,340324536.7,259624669.1,236078469.6,142649552.6,219782530.5,0,61271920.35,52516408.08,55259496.41,30715438.11,23120271.02,67838732,0,0,0,0,0,0
2/3/2022,1731160643,399049319.2,333658111.9,219678737.3,249424655.3,116481664.7,194451611.1,0,58309431.39,53755833.57,54911475.03,36572788.83,20346563.46,85992244,0,0,0,0,0,0
2/4/2022,2014778465,506729871.2,415820920.4,302253848.3,280713653.9,116458659.3,239091048.8,0,92463335.88,53372755.05,78340307.06,54647830.53,27161233.58,94275972,0,0,0,0,0,0
2/5/2022,1731067311,584141201.2,323912076.7,219075320.7,264402619.9,183782599.1,165113007.1,0,56859876.86,42170360.71,63990993.73,35299485.79,15667495.53,78318906,0,0,0,0,0,0
2/6/2022,1408020013,338880974.2,232186788,180084398.4,203567638.1,202677778.7,155996317.9,0,30889179.43,40046118.27,39777162.11,27853134.34,16046912.16,72131780,0,0,0,0,0,0
2/7/2022,1985039577,631935254.6,397245048.7,258041757.2,432990897.1,210049853.2,224632513.9,0,65936421.28,84725463.88,79795254.7,52771250.92,15218919.4,110238921,0,0,0,0,0,0
2/8/2022,1965340145,661071088.2,406294947.1,272909236.6,318147559.8,231876300.7,305649694.9,0,80836341.86,151457015.5,86122751.71,55909276.92,23407848.8,106259984,0,0,0,0,0,0
2/9/2022,1815818882,518388811.8,292247048.3,242322818.7,298049617.7,144214744.3,210006510.8,0,72571803.36,66453959.26,55529705.65,55057606.51,21483848.68,79537947,0,0,0,0,0,0
2/10/2022,2494087301,546399687.3,381491761.9,294351291.8,275334898.8,159079257.5,283148777,0,74281363.04,103666499.5,84737278.44,28328878.97,16969587.26,82014142,0,0,0,0,0,0
2/11/2022,2544951669,526481895.6,443866318.8,276748144.5,322203226,245275510.1,259545275.4,0,126297436.8,81219257.89,82289108.95,42014335.68,17795372.8,97680106,0,0,0,0,0,0
2/12/2022,1676658710,464375758.9,230639536,186762847.6,198302601.5,195193113.3,198295447.1,0,75101715.24,65990830.86,67197637.48,19654869.73,14975447.22,65325569,0,0,0,0,0,0
2/13/2022,1129684694,270164429.2,213154181.4,133410898.7,148295431.5,167382378.5,133275261.5,0,47387017.89,47897559.75,49510841.21,16009540.92,17160440.02,50755014,0,0,0,0,0,0
2/14/2022,1544991534,346335888.1,297840280.9,204678679.2,195407461.9,184640725.6,157627552.9,0,68455311.89,53568966.32,57066029.41,33720850.57,15884999.13,71253024,0,0,0,0,0,0
2/15/2022,1933346325,539719094.5,205308481.9,224364117.6,284059472.9,221812264.1,210119685.4,0,72258781.94,78813609.49,59709925.84,31420161.5,13622643.41,92639015,0,0,0,0,0,0
2/16/2022,1984934770,527104507.7,296164436.7,204969715.8,280633867,197364883.5,242924373.6,0,63535384.06,54170452.85,47197540.05,39900422.21,14983617.62,57780296,0,0,0,0,0,0
2/17/2022,2275286480,503445171.7,326597843.4,225872880.4,283312047.2,206333829.2,265301585.7,0,66534881.22,62297008.29,74248539.29,28209057.08,12243645.65,120111643,0,0,0,0,0,0
2/18/2022,1923064979,501622628.8,316461708.1,184940893.6,220134483.6,217839607.9,173160808.6,0,69674672.52,55337128.17,61806247.81,52658316.13,12170483.53,97655273,0,0,0,0,0,0
2/19/2022,1180730970,318203601.9,232775450,135702972.1,161701086.1,188737356.1,148520100.3,0,42188516.84,40847603.06,32943155.27,19996351.98,10446632.45,46781837,0,0,0,0,0,0
2/20/2022,1892427818,493755699.6,230458059.8,203491472.2,215362212.9,216453812,167694938.6,0,60876180.38,46616240.71,51081137,16052658.44,10020349.44,63892083,0,0,0,0,0,0
2/21/2022,2586277023,477932524.2,421122962.7,258872048.1,288351630.1,198555870.4,223801409.8,0,96194084.6,56004957.64,55257948.28,23910118.18,10380634.11,105788998,0,0,0,0,0,0
2/22/2022,2081285264,441156772,439721018.2,290262665.6,256994373.6,193712706,245565414.4,0,74884457.5,70321756.72,60390943.6,36262844.55,11306702.03,101672507,0,0,0,0,0,0
2/23/2022,1699703307,353346410.5,242229363.2,177934029.1,336482797.9,243385029.3,181131651.1,0,59535638.16,45656144.52,51964342.82,65593257.39,9850071.12,122397048,0,0,0,0,0,0
2/24/2022,4146221803,1098687117,548820608.8,510244358.2,576299005.5,269012068.9,370427182.3,0,187739725.7,103566292.6,130765556.8,117797360.6,15117201.15,233977050,0,0,0,0,0,0
2/25/2022,2524242354,738825369.3,520154765.2,217148663.2,392461648.7,238918274.1,204950888.1,0,106089985.8,55322969.63,68955260.93,65829812.06,10739319.08,119418178,0,0,0,0,0,0
2/26/2022,1449342838,366631860.8,272867365.7,152024700.8,149539335.4,174016812.1,155720506.7,0,59192325.78,31923483.85,53898826.74,16226445.34,7506279.23,111195975,0,0,0,0,0,0
2/27/2022,2153891815,368551094.5,362407795.1,192604554.2,181047727.7,191066534.8,184924117.4,0,80317202.41,43762170.77,56052056.85,10918984.58,9876832.52,103482681,0,0,0,0,0,0
2/28/2022,2374015439,462375028.7,440154383.2,220614808.8,226192816.9,228390102.7,259544354.6,0,83984236.19,58152256.75,76179476.7,17848528.41,11988510.55,156289892,0,0,0,0,0,0
3/1/2022,2337968583,695474189.8,374710533.9,234913603.2,294648573.5,219389481.5,257193528.4,0,101102052.8,62002761.29,74541908.43,35624192.73,12735057.14,154703903,0,0,0,0,0,0
3/2/2022,2363757647,563866034.5,516154247.4,218464314.6,251955980.8,250979344.6,192731839.1,0,80524107.03,58936314.83,145984812.2,59432921.65,13793884.99,172952310,0,0,0,0,0,0
3/3/2022,1591783420,569292500.8,314108505.6,194327375.8,173373130.8,298312287.8,200570627.9,0,81251351.94,34745038.02,110026565.3,22852483.96,10815874.02,163402676,0,0,0,0,0,0
3/4/2022,2138837076,639138749.5,421354681.3,206170766.4,227251812.2,262202537.3,226947462.3,0,96019355.08,46076504.4,83758762.68,35556474.83,10193528.13,153186620,0,0,0,0,0,0
3/5/2022,1039315073,336829435,144155526.8,108654344.3,136183812,233140481.4,140816635.1,0,32549926.97,31501242.02,48793115.9,25450719.03,7809418.82,102539774,0,0,0,0,0,0
3/6/2022,1221903417,374758839.8,314154533,157962477.1,247085006.4,233766179,101658858.3,0,47361140.66,33069478.32,62109257.62,98316033.17,8655513.91,89854146,0,0,0,0,0,0
3/7/2022,1840713645,555310121.3,340329869.5,198039298.3,195714349.9,321357296.8,146039851.1,0,71329322.36,49043138.7,55585830.88,24174874.52,10850679.89,140252680,0,0,0,0,0,0
3/8/2022,1897418370,406917177.6,424276443.9,155497541.8,151395761,223859888.6,142233952.3,0,77189578.47,38219617.24,104655559.7,22284459.9,10990843.67,125289057,0,0,0,0,0,0
3/9/2022,1720153183,482173994.8,218423875.1,167074617.8,221859485,215945189.7,167260353.9,0,58679550.86,42202820.8,43886903.56,19372591.49,9846009.52,149464528,0,0,0,0,0,0
3/10/2022,1583687317,469198110.7,262222234.8,124496714.1,164364947.5,182864281.4,134434094.4,0,72262699.64,26326055.22,40170800.36,32370084.38,7518787.76,162138081,0,0,0,0,0,0
3/11/2022,1577891403,500854423.6,310959515,113077201.9,157951861.7,215687872,154454404.3,0,66264394.05,28102142.89,39431857.84,34453019.83,6219232.39,98450884,0,0,0,0,0,0
3/12/2022,824232670.1,336921384.3,171384635.7,68703924.23,105468350.2,235139868.7,87238876.29,0,27996558.77,17648107.7,39584860.95,12180078.66,6402957.78,58481474,0,0,0,0,0,0
3/13/2022,1130003658,368465285.1,248397929.7,80147580.93,134984954.9,226079539.5,79119308.18,0,34372648.69,24881958.87,23880108.85,18366642.08,5732518.07,85924452,0,0,0,0,0,0
3/14/2022,1359756468,420875523,245018075.4,115672707,119678210.4,210620492.5,135941387.2,0,53715832.38,36938435.66,44103393.05,18920584.58,8227628.32,93536851,0,0,0,0,0,0
3/15/2022,1402326746,433817346.2,232368754.8,122578061.6,155825977.2,213188610.9,121286227.3,0,45665124.57,45739601.34,44690002.23,11556078.74,9834117.73,113923023,0,0,0,0,0,0
3/16/2022,2181451649,517076983.9,407290934.1,163574533.2,203028150.2,194925606.9,137873620.9,0,84395120.39,56803052.47,56077138.04,91531884.5,7976721.33,97842839,0,0,0,0,0,0
3/17/2022,1829882966,718681133.4,230292002.8,116083083.6,203519141,298249898.2,179588926.8,0,54397900.21,37047260.61,46389746.58,37331832.1,11477301.55,62351121,0,0,0,0,0,0
3/18/2022,2326797899,724015573.2,359405866.9,154219518.1,265579015.4,227634338.4,163169116.3,0,79733309.78,32032305.05,58754142.06,32534749.08,13044417.71,97338992,0,0,0,0,0,0
3/19/2022,1407680231,337260303.3,131957302,110010391.1,188402752.1,179728109.4,152931287.1,0,49806993.58,46886183.89,45330623.8,17013400.53,11802361.67,70510426,0,0,0,0,0,0
3/20/2022,1394099786,295606217.3,194749787.1,102154480.1,139342077.1,191104811.7,104311976.9,0,46309066.28,37511885.66,22517831.53,28160811.65,10907225.36,65228635,0,0,0,0,0,0
3/21/2022,1485953028,454794254.4,245624553.1,125778001.8,153999303.1,267528664.5,160840240.8,0,53817118.02,31814206.66,46856389.7,26336731.56,14317059.82,108051991,0,0,0,0,0,0
3/22/2022,1785563697,522074852.5,249954087,137344418.8,216508288.5,201388222.8,138197384.5,0,53259485.32,39756480.22,37575062.88,38006585.75,14603522.09,76208230,0,0,0,0,0,0
3/23/2022,1564887432,413211222.2,318238385.3,127101319.4,165234066.4,194726693.3,132645809.9,0,49044687.07,40772344.91,80474692.08,27871594.46,14651519.42,88574890,0,0,0,0,0,0
3/24/2022,2219111949,785427950.3,395253613.1,179102668.9,242476645.2,219461011,132827286.8,0,72173253.21,55202136.78,55987186.2,66378327.05,19190815.43,87086542,0,0,0,0,0,0
3/25/2022,1941995017,559611003.4,397664572.7,190117793.7,214694671.4,255235211.7,117088196.9,0,53159898.77,41050470.17,63400313.6,53098302.16,13473255,112576907,0,0,0,0,0,0
3/26/2022,1015489553,298681822.7,224738571.1,115468221.1,150698805.3,184004056.1,72350636.21,0,29606426.45,24588559.64,29540680.01,32042035.95,13760155.58,61690168,0,0,0,0,0,0
